,nmefet,rem_pos,year,month
0,1 SARGENTO,7903.437180232559,2015,02
1,1 SGT,7701.210715223097,2015,02
2,1 TEN,9832.577869177403,2015,02
3,1 TENENTE,9126.273777777778,2015,02
4,2 SARGENTO,6373.37399185336,2015,02
5,2 SGT,6531.672661402694,2015,02
6,2 TEN,8083.157838745801,2015,02
7,2 TENENTE,7927.974619883041,2015,02
8,3 SARGENTO,5375.156347905282,2015,02
9,3 SGT,5538.697569363032,2015,02
10,ADVOGADO AUTARQUICO,11610.872142857143,2015,02
11,AGENTE DE POLICIA,2979.12,2015,02
12,AGENTE DE SEGURANCA PENITENCIARIO,3614.2592478991596,2015,02
13,AGENTE DE SEGURANCA SOCIOEDUCATIVO,3593.93224137931,2015,02
14,AGENTE DE TRANSPORTES E OBRAS PUBLICAS,5133.808632653061,2015,02
15,"AGENTE FISCAL DE GESTAO, METROLOGIA E QUALIDADE",5506.753931034483,2015,02
16,AGENTE GOVERNAMENTAL,2997.341228346457,2015,02
17,AGENTE GOVERNAMENTAL 2I,3861.76,2015,02
18,ALUNO,5846.075373134328,2015,02
19,ANAL. DE GESTAO E POL.PUB. EM DESENVOLVIMENTO,3017.245375,2015,02
20,ANALISTA ADMINISTRATIVO,2818.05,2015,02
21,ANALISTA AMBIENTAL,5479.772177177178,2015,02
22,ANALISTA DA POLICIA CIVIL,2576.4006318681318,2015,02
23,ANALISTA DE ADMINISTRACAO DE ESTADIOS,6824.54,2015,02
24,ANALISTA DE ATENCAO A SAUDE,3277.2467049180327,2015,02
25,ANALISTA DE DESENVOLVIMENTO ECONOMICO E SOCIAL,2557.657435897436,2015,02
26,ANALISTA DE DESENVOLVIMENTO RURAL,7323.16,2015,02
27,ANALISTA DE EDUCACAO BASICA,1872.1299537037037,2015,02
28,ANALISTA DE GESTAO,4434.11,2015,02
29,ANALISTA DE GESTAO ARTISTICA,4176.521,2015,02
30,ANALISTA DE GESTAO DA PMM,4947.07,2015,02
31,ANALISTA DE GESTAO E ASSISTENCIA A SAUDE,4085.126692176871,2015,02
32,ANALISTA DE GESTAO E REGISTRO EMPRESARIAL,4184.682894736842,2015,02
33,ANALISTA DE GESTAO LOTERICA,3239.2833333333333,2015,02
34,"ANALISTA DE GESTAO, METROLOGIA E QUALIDADE",6394.067962962963,2015,02
35,"ANALISTA DE GESTAO, PROTECAO E RESTAURO",4545.841714285714,2015,02
36,ANALISTA DE GESTÃO DE SEGURIDADE SOCIAL,2070.7002857142857,2015,02
37,ANALISTA DE HEMATOLOGIA E HEMOTERAPIA,5046.863405172414,2015,02
38,ANALISTA DE SEGURIDADE SOCIAL,4159.916319218241,2015,02
39,ANALISTA DE TURISMO,5638.65,2015,02
40,ANALISTA DE TV,2393.090581395349,2015,02
41,ANALISTA E PESQUISADOR DE SAUDE E TECNOLOGIA,5826.672622377623,2015,02
42,ANALISTA EDUCACIONAL,3099.52882378662,2015,02
43,ANALISTA EM EDUCACAO E PESQUISA EM SAUDE,4682.143559322033,2015,02
44,ANALISTA EXECUTIVO DE DEFESA SOCIAL,3977.7516686114354,2015,02
45,ANALISTA EXECUTIVO DEFESA,2914.49,2015,02
46,ANALISTA FAZENDARIO DE ADMINISTRACAO E FINANCAS,10502.5319375,2015,02
47,ANALISTA FINANCEIRO,3427.9,2015,02
48,ANALISTA UNIVERSITARIO,3598.7923300970874,2015,02
49,ANALISTA UNIVERSITARIO DA SAUDE,3212.096612903226,2015,02
50,ASP A OF,5776.25152866242,2015,02
51,ASPIRANTE A OFICIAL,5494.420888888889,2015,02
52,ASSESSOR DE ANALISE E MONITORAMENTO DE MERCADO,5510.03,2015,02
53,ASSESSOR DE COMUNICACAO,6801.16,2015,02
54,ASSESSOR DE RELACOES INSTITUCI,14814.19,2015,02
55,ASSESSOR FINANCEIRO,6694.99,2015,02
56,ASSESSOR JURIDICO-ADMINISTRATIVO,6738.32,2015,02
57,ASSESSOR TI,1931.52,2015,02
58,ASSESSORA DE ACAO ESTRATEGICA,6694.99,2015,02
59,ASSESSORA DE LOGISTICA E MANUTENÇÃO,4676.71,2015,02
60,ASSESSORA DE NOVOS NEGOCIOS,7493.65,2015,02
61,ASSIST. TÉC. Seguridade Social,1493.5978980891718,2015,02
62,ASSISTENTE ADMINISTRATIVO,1437.1169684385382,2015,02
63,ASSISTENTE ADMINISTRATIVO DE TELECOMUNICACOES,3386.980625,2015,02
64,ASSISTENTE AMBIENTAL,2590.09,2015,02
65,ASSISTENTE COMERCIAL,2029.8619999999999,2015,02
66,ASSISTENTE DE ADMINISTRACAO DE ESTADIOS,2122.2566666666667,2015,02
67,ASSISTENTE DE EDUCACAO,2283.5439597315435,2015,02
68,ASSISTENTE DE GABINETE,4524.97,2015,02
69,ASSISTENTE DE GESTAO DE DEFESA AGROPECUARIA,3160.577863247863,2015,02
70,ASSISTENTE DE GESTAO E POLITICAS PUBLICAS EM DESEN,2705.9966310160426,2015,02
71,ASSISTENTE DE MARKETING,3427.9,2015,02
72,ASSISTENTE EXECUTIVO DE DEFESA SOCIAL,2277.368554641598,2015,02
73,ASSISTENTE JURIDICO,4603.205,2015,02
74,ASSISTENTE OPERACIONAL,1804.7388888888888,2015,02
75,ASSISTENTE TECNICO DE EDUCACAO BASICA,1251.8645990059522,2015,02
76,ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA,3077.3805103969753,2015,02
77,ASSISTENTE TECNICO EDUCACIONAL,1996.2586159346272,2015,02
78,AUDITOR FISCAL DA RECEITA ESTADUAL,20458.948523714094,2015,02
79,AUDITOR INTERNO,4893.9606862745095,2015,02
80,AUXILIAR ADMINISTRATIVO D,1184.809128540305,2015,02
81,AUXILIAR ADMINISTRATIVO DE TELECOMUNICACOES,1885.319090909091,2015,02
82,AUXILIAR ADMINISTRATIVO UNIVERSITARIO,2130.3911070110703,2015,02
83,AUXILIAR AMBIENTAL,1984.126551724138,2015,02
84,AUXILIAR DA INDUSTRIA GRAFICA,3447.93,2015,02
85,AUXILIAR DA POLICIA CIVIL,1834.2125726141078,2015,02
86,AUXILIAR DE ADMINISTRACAO DE ESTADIOS,1363.768,2015,02
87,AUXILIAR DE ADMINISTRACAO GERAL,2304.7180000000003,2015,02
88,AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE,1644.8753085553997,2015,02
89,AUXILIAR DE APOIO DA SAUDE,2328.106651718984,2015,02
90,AUXILIAR DE ATIVIDADES OPERACIONAIS,3257.678275862069,2015,02
91,AUXILIAR DE CULTURA,2048.722,2015,02
92,AUXILIAR DE DESENVOLVIMENTO ECONOMICO E SOCIAL,1769.06,2015,02
93,AUXILIAR DE DESENVOLVIMENTO RURAL,1833.1742857142858,2015,02
94,AUXILIAR DE ENFERMAGEM - IPSEMG,932.22,2015,02
95,AUXILIAR DE GESTAO ARTISTICA,1513.929,2015,02
96,AUXILIAR DE GESTAO E REGISTRO EMPRESARIAL,3258.1788235294116,2015,02
97,AUXILIAR DE GESTAO LOTERICA,2550.83,2015,02
98,"AUXILIAR DE GESTAO, METROLOGIA E QUALIDADE",3942.5413636363637,2015,02
99,"AUXILIAR DE GESTAO, PROTECAO E RESTAURO",4613.225,2015,02
100,AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA,3375.0965714285717,2015,02
101,AUXILIAR DE MANUTENCAO,1687.5349999999999,2015,02
102,AUXILIAR DE SAUDE E TECNOLOGIA,2830.4342682926826,2015,02
103,AUXILIAR DE SEGURIDADE SOCIAL,2544.765517740768,2015,02
