,nmefet,rem_pos,year,month
0,1 SARGENTO,10413.255307917889,2015,04
1,1 SGT,8715.128085963734,2015,04
2,1 TEN,11213.079156626505,2015,04
3,1 TENENTE,12314.396145251398,2015,04
4,2 SARGENTO,8890.441190965093,2015,04
5,2 SGT,7393.970914691943,2015,04
6,2 TEN,9252.71893214683,2015,04
7,2 TENENTE,10673.745294117647,2015,04
8,3 SARGENTO,7639.290743801653,2015,04
9,3 SGT,6214.823113772455,2015,04
10,ADVOGADO AUTARQUICO,13177.619642857142,2015,04
11,AGENTE DE POLICIA,2980.73,2015,04
12,AGENTE DE SEGURANCA PENITENCIARIO,5541.252506188848,2015,04
13,AGENTE DE SEGURANCA SOCIOEDUCATIVO,5780.466533101046,2015,04
14,AGENTE DE TRANSPORTES E OBRAS PUBLICAS,5050.001407249467,2015,04
15,"AGENTE FISCAL DE GESTAO, METROLOGIA E QUALIDADE",5059.944825174825,2015,04
16,AGENTE GOVERNAMENTAL,3188.882584269663,2015,04
17,AGENTE GOVERNAMENTAL 2I,3722.08,2015,04
18,ALUNO,7052.927686567164,2015,04
19,ANAL. DE GESTAO E POL.PUB. EM DESENVOLVIMENTO,3023.792991452992,2015,04
20,ANALISTA ADMINISTRATIVO,3019.49,2015,04
21,ANALISTA AMBIENTAL,5910.3507401812685,2015,04
22,ANALISTA DA POLICIA CIVIL,2824.9272299168974,2015,04
23,ANALISTA DE ADMINISTRACAO DE ESTADIOS,14053.28,2015,04
24,ANALISTA DE ATENCAO A SAUDE,3302.1304033613446,2015,04
25,ANALISTA DE DESENVOLVIMENTO ECONOMICO E SOCIAL,2766.59717948718,2015,04
26,ANALISTA DE DESENVOLVIMENTO RURAL,7237.4349999999995,2015,04
27,ANALISTA DE EDUCACAO BASICA,1861.6756837606838,2015,04
28,ANALISTA DE GESTAO,4341.134285714285,2015,04
29,ANALISTA DE GESTAO ARTISTICA,3507.8949999999995,2015,04
30,ANALISTA DE GESTAO DA PMM,4565.48,2015,04
31,ANALISTA DE GESTAO E ASSISTENCIA A SAUDE,4260.275060034305,2015,04
32,ANALISTA DE GESTAO E REGISTRO EMPRESARIAL,4358.178157894737,2015,04
33,ANALISTA DE GESTAO LOTERICA,3312.7766666666666,2015,04
34,"ANALISTA DE GESTAO, METROLOGIA E QUALIDADE",6099.540769230769,2015,04
35,"ANALISTA DE GESTAO, PROTECAO E RESTAURO",4646.856857142857,2015,04
36,ANALISTA DE GESTÃO DE SEGURIDADE SOCIAL,2171.0780555555557,2015,04
37,ANALISTA DE HEMATOLOGIA E HEMOTERAPIA,4276.15632034632,2015,04
38,ANALISTA DE SEGURIDADE SOCIAL,4177.382673267327,2015,04
39,ANALISTA DE TURISMO,6220.2,2015,04
40,ANALISTA DE TV,2360.3176744186044,2015,04
41,ANALISTA E PESQUISADOR DE SAUDE E TECNOLOGIA,5929.087793594305,2015,04
42,ANALISTA EDUCACIONAL,3075.7549078947372,2015,04
43,ANALISTA EM EDUCACAO E PESQUISA EM SAUDE,4574.508,2015,04
44,ANALISTA EXECUTIVO DE DEFESA SOCIAL,3648.7316927899687,2015,04
45,ANALISTA EXECUTIVO DEFESA,2934.26,2015,04
46,ANALISTA FAZENDARIO DE ADMINISTRACAO E FINANCAS,10417.104102564103,2015,04
47,ANALISTA FINANCEIRO,3658.83,2015,04
48,ANALISTA UNIVERSITARIO,3573.3357142857144,2015,04
49,ANALISTA UNIVERSITARIO DA SAUDE,3156.5870430107525,2015,04
50,ASP A OF,6595.822802547771,2015,04
51,ASPIRANTE A OFICIAL,8203.55347826087,2015,04
52,ASSESSOR DE APOIO TECNICO OPERACIONAL,5185.87,2015,04
53,ASSESSOR DE COMUNICACAO,52072.06,2015,04
54,ASSESSOR DE NOVOS NEGOCIOS,7497.21,2015,04
55,ASSESSOR FINANCEIRO,18112.83,2015,04
56,ASSESSOR TI,2513.93,2015,04
57,ASSESSORA DE ACAO ESTRATEGICA,32999.93,2015,04
58,ASSESSORA DE ANALISE E MONITORAMENTO DE MERCADO,5907.15,2015,04
59,ASSESSORA DE AÇÃO ESTRATEGICA,6156.78,2015,04
60,ASSESSORA DE LOGISTICA E MANUTENÇÃO,5014.75,2015,04
61,ASSIST. TÉC. Seguridade Social,1554.7353947368422,2015,04
62,ASSISTENTE ADMINISTRATIVO,1658.4653400503778,2015,04
63,ASSISTENTE ADMINISTRATIVO DE TELECOMUNICACOES,3675.1639999999998,2015,04
64,ASSISTENTE AMBIENTAL,2598.81,2015,04
65,ASSISTENTE COMERCIAL,3427.2549999999997,2015,04
66,ASSISTENTE DE ADMINISTRACAO DE ESTADIOS,2234.9333333333334,2015,04
67,ASSISTENTE DE EDUCACAO,2210.2310839160837,2015,04
68,ASSISTENTE DE GESTAO DE DEFESA AGROPECUARIA,3064.446753246753,2015,04
69,ASSISTENTE DE GESTAO E POLITICAS PUBLICAS EM DESEN,2702.521114130435,2015,04
70,ASSISTENTE DE MARKETING,19401.44,2015,04
71,ASSISTENTE DE PESQUISA,3002.55,2015,04
72,ASSISTENTE EXECUTIVO DE DEFESA SOCIAL,2099.431586592179,2015,04
73,ASSISTENTE JURIDICO,3658.83,2015,04
74,ASSISTENTE OPERACIONAL,1945.741111111111,2015,04
75,ASSISTENTE TECNICO DE EDUCACAO BASICA,1213.6469253510716,2015,04
76,ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA,2502.878527724665,2015,04
77,ASSISTENTE TECNICO EDUCACIONAL,1973.8528851107678,2015,04
78,AUDITOR FISCAL DA RECEITA ESTADUAL,20575.792364130433,2015,04
79,AUDITOR INTERNO,5019.2175728155335,2015,04
80,AUXILIAR ADMINISTRATIVO D,1329.8826538461537,2015,04
81,AUXILIAR ADMINISTRATIVO DE TELECOMUNICACOES,1897.4009090909092,2015,04
82,AUXILIAR ADMINISTRATIVO UNIVERSITARIO,2186.7793308550185,2015,04
83,AUXILIAR AMBIENTAL,2142.3920703125,2015,04
84,AUXILIAR DA INDUSTRIA GRAFICA,3773.1190476190477,2015,04
85,AUXILIAR DA POLICIA CIVIL,2009.4641525423729,2015,04
86,AUXILIAR DE ADMINISTRACAO DE ESTADIOS,1367.2404999999999,2015,04
87,AUXILIAR DE ADMINISTRACAO GERAL,2265.548857142857,2015,04
88,AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE,1592.1529892473118,2015,04
89,AUXILIAR DE APOIO DA SAUDE,2343.1985975609755,2015,04
90,AUXILIAR DE ATIVIDADES OPERACIONAIS,3017.6789655172415,2015,04
91,AUXILIAR DE CULTURA,1915.3813333333335,2015,04
92,AUXILIAR DE DESENVOLVIMENTO ECONOMICO E SOCIAL,1769.7024999999999,2015,04
93,AUXILIAR DE DESENVOLVIMENTO RURAL,1736.5166666666667,2015,04
94,AUXILIAR DE ENFERMAGEM - IPSEMG,950.02,2015,04
95,AUXILIAR DE GESTAO ARTISTICA,1462.1979999999999,2015,04
96,AUXILIAR DE GESTAO E REGISTRO EMPRESARIAL,3296.2928125,2015,04
97,AUXILIAR DE GESTAO LOTERICA,1875.12,2015,04
98,"AUXILIAR DE GESTAO, METROLOGIA E QUALIDADE",3699.657857142857,2015,04
99,"AUXILIAR DE GESTAO, PROTECAO E RESTAURO",4063.62,2015,04
100,AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA,2746.8154285714286,2015,04
101,AUXILIAR DE MANUTENCAO,2018.235,2015,04
102,AUXILIAR DE SAUDE E TECNOLOGIA,2865.800253164557,2015,04
103,AUXILIAR DE SEGURIDADE SOCIAL,2478.6794894237783,2015,04
104,AUXILIAR DE SERVICOS DE EDUCACAO BASICA,750.3278327254744,2015,04
105,AUXILIAR DE SERVICOS GOVERNAMENTAIS,2768.486377952756,2015,04
106,AUXILIAR DE SERVICOS OPERACIONAIS,1572.1238057742783,2015,04
107,AUXILIAR DE TRANSPORTES E OBRAS PUBLICAS,2113.488459495352,2015,04
108,AUXILIAR EM ATIVIDADES DE CIENCIA E TECNOLOGIA,3235.974210526316,2015,04
109,AUXILIAR EXECUTIVO DE DEFESA SOCIAL,1977.8812925170066,2015,04
110,AUXILIAR OPERACIONAL,2195.1895541401273,2015,04
111,Aux. Geral de Seguridade Social,2134.9333333333334,2015,04
112,BAILARINO,4656.933,2015,04
113,BOMBEIRO HIDRAULICO,2020.54,2015,04
114,CABO,6760.431624203821,2015,04
115,CAD,4936.378374558304,2015,04
116,CADETE,6438.164545454545,2015,04
117,CAP,13024.002439807384,2015,04
118,CAPITAO,13677.52132231405,2015,04
119,CB,4893.7013387331635,2015,04
120,CEL,30445.054310344825,2015,04
121,CHEFE DE GABINETE,7288.66,2015,04
122,COMANDANTE DE AVIÐO,12214.005000000001,2015,04
123,CONTRATO ADM. ANALISTA DE SAUDE E TECNOLOGIA,3839.058461538462,2015,04
124,CONTRATO ADM. TECNICO DE SAUDE E TECNOLOGIA,1934.5118840579712,2015,04
125,CONTRATO ADM.GESTOR DE TRSNSPORTE E OBRAS PUBLICAS,2288.8942857142856,2015,04
126,CONTRATO ADM.TECNICO UNIVERSITARIO DA SAUDE,1519.1139285714287,2015,04
127,CONTRATO ADMINISTRATICO TECNICO ENFERMAGEM,1831.65,2015,04
128,CONTRATO ADMINISTRATIVO AUXILIAR ADMINISTRATIVO,736.39,2015,04
129,CONTRATO ADMINISTRATIVO AUXILIAR DE APOIO LOGISTIC,1121.4133333333334,2015,04
130,CONTRATO ADMINISTRATIVO AUXILIAR DE ENFERMAGEM,795.73,2015,04
131,CONTRATO ADMINISTRATIVO ENFERMEIRO,1934.5149999999999,2015,04
132,CONTRATO ADMINISTRATIVO MEDICO PERITO,3893.099591836735,2015,04
133,CONTRATO ADMINISTRATIVO TECNICO RADIOLOGISTA,879.62,2015,04
134,CONTRATO ADMINISTRATIVO TECNICO UNIVERSITARIO,1023.4127083333333,2015,04
135,CONTRATO AGENTE DE SEGURANCA PENITENCIARIO,3771.024773570898,2015,04
136,CONTRATO AGENTE DE SEGURANCA SOCIOEDUCATIVO,3922.957216775599,2015,04
137,CONTRATO ANALISTA DE GESTAO E ASSISTENCIA A SAUDE,3034.7661016949155,2015,04
138,CONTRATO ANALISTA EXECUTIVO DE DS LEI 18185/09.,2201.0104141104293,2015,04
139,CONTRATO ANALISTA HEMOMINAS LEI 18185 2009,3381.572857142857,2015,04
140,CONTRATO ANALISTA UNIVERSITARIO LEI 18185 2009,2094.5197596153844,2015,04
141,CONTRATO ASSISTENTE EXECUTIVO DE DS LEI 18185/09.,1683.8031438127089,2015,04
142,CONTRATO ASSISTENTE TECNICO HEMOMINAS LEI 18185 09,1741.4773387096775,2015,04
143,CONTRATO AUXILIAR EXECUTIVO DE DS LEI 18185/2009.,792.9621476510067,2015,04
144,CONTRATO ESPECIALISTA POLITICAS E GESTAO DA SAUDE,2167.2615615615614,2015,04
145,CONTRATO GESTOR DE CULTURA LEI 18185 2009.,2085.8,2015,04
